loss,kl,elbo,acc
2.46469,0.319736,2.46469,16.875000298023224
2.43217,0.318451,2.43217,21.875
2.41676,0.331631,2.41676,23.333333432674408
2.38843,0.353279,2.38843,23.333333432674408
2.35679,0.386501,2.35679,22.499999403953552
2.31947,0.441984,2.31947,16.66666716337204
2.28498,0.561314,2.28498,16.66666716337204
2.3196,0.80912,2.3196,16.66666716337204
2.27634,1.32482,2.27634,16.66666716337204
2.29821,2.74946,2.29821,15.833333134651184
2.17923,6.46018,2.17923,16.66666716337204
2.16438,20.3442,2.16438,16.66666716337204
2.28677,81.4839,2.28677,20.000000298023224
2.21695,98.0055,2.21695,20.000000298023224
2.2684,89.141,2.2684,19.79166716337204
2.10653,58.2824,2.10653,24.166665971279144
2.1216,49.2577,2.1216,26.04166567325592
2.23499,39.0299,2.23499,27.08333432674408
2.16643,31.2785,2.16643,30.20833432674408
2.19701,32.3225,2.19701,32.29166567325592
2.06928,49.8183,2.06928,34.99999940395355
2.07998,65.2133,2.07998,34.375
2.16721,41.9459,2.16721,32.29166567325592
2.08224,24.9208,2.08224,36.87500059604645
2.11485,17.0607,2.11485,36.250001192092896
2.06834,18.5433,2.06834,37.08333373069763
2.06334,18.2131,2.06334,35.41666567325592
2.12176,17.7732,2.12176,32.70833194255829
2.05712,16.5694,2.05712,34.166666865348816
2.08631,11.1164,2.08631,34.99999940395355
1.97719,9.49427,1.97719,36.250001192092896
1.94599,7.72033,1.94599,36.04166805744171
1.97374,6.74488,1.97374,36.250001192092896
1.944,9.2792,1.944,31.874999403953552
1.96534,8.25061,1.96534,28.541666269302368
1.92048,12.1011,1.92048,30.625000596046448
1.86994,8.38516,1.86994,35.208332538604736
1.88124,7.16824,1.88124,39.16666805744171
1.85697,10.5004,1.85697,36.666667461395264
1.88742,13.4767,1.88742,32.499998807907104
1.87906,21.15,1.87906,33.33333432674408
1.80211,14.0575,1.80211,34.79166626930237
1.79985,9.51292,1.79985,40.00000059604645
1.80113,10.3914,1.80113,40.00000059604645
1.79737,11.2792,1.79737,40.20833373069763
1.88831,17.7313,1.88831,40.625
1.82872,16.954,1.82872,36.666667461395264
1.77525,13.1093,1.77525,36.666667461395264
1.76289,10.8312,1.76289,36.666667461395264
1.75283,8.91292,1.75283,37.91666626930237
1.79994,11.5716,1.79994,43.33333373069763
1.74837,11.9013,1.74837,40.625
1.71911,10.3439,1.71911,43.12500059604645
1.69466,9.54889,1.69466,46.666666865348816
1.66704,8.60039,1.66704,52.49999761581421
1.75689,10.4214,1.75689,44.79166567325592
1.7122,9.81868,1.7122,46.666666865348816
1.69537,8.73757,1.69537,50.41666626930237
1.65083,8.86762,1.65083,44.16666626930237
1.61396,8.83496,1.61396,39.375001192092896
1.64489,9.20003,1.64489,33.33333432674408
1.60431,11.0267,1.60431,38.333332538604736
1.57037,9.49699,1.57037,51.45833492279053
1.50299,8.5713,1.50299,53.33333611488342
1.46565,7.33207,1.46565,52.49999761581421
1.69873,5.96702,1.69873,46.666666865348816
1.64113,5.61363,1.64113,47.91666567325592
1.61713,5.40918,1.61713,59.79166626930237
1.54568,5.68297,1.54568,61.666667461395264
1.48672,5.32223,1.48672,64.79166746139526
